Date,Spot,Rate,Vol
2023-01-01,400.0,0.045,0.15
2023-01-02,401.87740303079113,0.045,0.15
2023-01-03,401.3523603136793,0.045,0.15
2023-01-04,403.8086694386876,0.045,0.15
2023-01-05,409.61999283536824,0.045,0.15
2023-01-06,408.7136916339341,0.045,0.15
2023-01-07,407.809459066587,0.045,0.15
2023-01-08,413.8948564483231,0.045,0.15
2023-01-09,416.89624669358005,0.045,0.15
2023-01-10,415.04684659504716,0.045,0.15
2023-01-11,417.17467163133347,0.045,0.15
2023-01-12,415.34791146855196,0.045,0.15
2023-01-13,413.52007640668126,0.045,0.15
2023-01-14,414.4655191681294,0.045,0.15
2023-01-15,406.97248036096784,0.045,0.15
2023-01-16,400.33925971603287,0.045,0.15
2023-01-17,398.21221009252434,0.045,0.15
2023-01-18,394.40117806929374,0.045,0.15
2023-01-19,395.57229643614846,0.045,0.15
2023-01-20,392.1782778139985,0.045,0.15
2023-01-21,386.9446525765877,0.045,0.15
2023-01-22,392.30347968288004,0.045,0.15
2023-01-23,391.46654512349437,0.045,0.15
2023-01-24,391.7163327062976,0.045,0.15
2023-01-25,386.4428104727499,0.045,0.15
2023-01-26,384.454974454692,0.045,0.15
2023-01-27,384.8579293848759,0.045,0.15
2023-01-28,380.6722657220674,0.045,0.15
2023-01-29,382.0236570572321,0.045,0.15
2023-01-30,379.85548097116873,0.045,0.15
2023-01-31,378.8085054942916,0.045,0.15
2023-02-01,376.65475448251436,0.045,0.15
2023-02-02,383.247110516714,0.045,0.15
2023-02-03,383.19823241204125,0.045,0.15
2023-02-04,379.3683849441049,0.045,0.15
2023-02-05,382.3169569956766,0.045,0.15
2023-02-06,377.9065913343949,0.045,0.15
2023-02-07,378.65241851127274,0.045,0.15
2023-02-08,371.64085785562685,0.045,0.15
2023-02-09,366.9766987513659,0.045,0.15
2023-02-10,367.6593355334894,0.045,0.15
2023-02-11,370.2248084388544,0.045,0.15
2023-02-12,370.8243053455622,0.045,0.15
2023-02-13,370.4190783519888,0.045,0.15
2023-02-14,369.3651758844541,0.045,0.15
2023-02-15,364.20487857365595,0.045,0.15
2023-02-16,361.7275976268986,0.045,0.15
2023-02-17,360.1531322255563,0.045,0.15
2023-02-18,363.7506536491099,0.045,0.15
2023-02-19,364.93171115169525,0.045,0.15
2023-02-20,358.85225407994585,0.045,0.15
2023-02-21,359.9511693714373,0.045,0.15
2023-02-22,358.64142026009415,0.045,0.15
2023-02-23,356.34743795552384,0.045,0.15
2023-02-24,358.40705404146354,0.045,0.15
2023-02-25,361.8986662352343,0.045,0.15
2023-02-26,365.08329125639636,0.045,0.15
2023-02-27,362.1882317871177,0.045,0.15
2023-02-28,361.1299966159974,0.045,0.15
2023-03-01,362.2603859439879,0.045,0.15
2023-03-02,365.59971485955145,0.045,0.15
2023-03-03,363.9443630886608,0.045,0.15
2023-03-04,363.30589096799105,0.045,0.15
2023-03-05,359.5079337321825,0.045,0.15
2023-03-06,355.4443831450437,0.045,0.15
2023-03-07,358.1733597737477,0.045,0.15
2023-03-08,362.76344582663324,0.045,0.15
2023-03-09,362.51661008162546,0.045,0.15
2023-03-10,365.9541718691582,0.045,0.15
2023-03-11,367.2046882301527,0.045,0.15
2023-03-12,364.9662786962502,0.045,0.15
2023-03-13,366.2125901761688,0.045,0.15
2023-03-14,371.53478686596776,0.045,0.15
2023-03-15,371.40901333096747,0.045,0.15
2023-03-16,376.9001072405705,0.045,0.15
2023-03-17,367.5702223176648,0.045,0.15
2023-03-18,370.4248640690761,0.045,0.15
2023-03-19,370.7295449954815,0.045,0.15
2023-03-20,369.6821028329761,0.045,0.15
2023-03-21,370.00263859804755,0.045,0.15
2023-03-22,363.05370749743446,0.045,0.15
2023-03-23,362.30011537996256,0.045,0.15
2023-03-24,363.5226596655995,0.045,0.15
2023-03-25,368.59917584837154,0.045,0.15
2023-03-26,366.7940744531316,0.045,0.15
2023-03-27,363.99193407872923,0.045,0.15
2023-03-28,362.26619065787014,0.045,0.15
2023-03-29,365.3996979220756,0.045,0.15
2023-03-30,366.53477773531074,0.045,0.15
2023-03-31,364.69999135791466,0.045,0.15
2023-04-01,366.4687576402738,0.045,0.15
2023-04-02,366.80491819281286,0.045,0.15
2023-04-03,370.162223025512,0.045,0.15
2023-04-04,367.7066489431636,0.045,0.15
2023-04-05,366.5681864069539,0.045,0.15
2023-04-06,365.2100242285215,0.045,0.15
2023-04-07,360.1595653340018,0.045,0.15
2023-04-08,361.16731830976477,0.045,0.15
2023-04-09,362.05822434645023,0.045,0.15
2023-04-10,362.07571813946566,0.045,0.15
2023-04-11,361.27312659932477,0.045,0.15
2023-04-12,356.4414610990627,0.045,0.15
2023-04-13,355.02470442182,0.045,0.15
2023-04-14,353.87501095457924,0.045,0.15
2023-04-15,351.19235257086126,0.045,0.15
2023-04-16,350.6571330636539,0.045,0.15
2023-04-17,351.9959145514488,0.045,0.15
2023-04-18,358.26946082669843,0.045,0.15
2023-04-19,358.86046401938324,0.045,0.15
2023-04-20,359.7337948983723,0.045,0.15
2023-04-21,359.48074095787865,0.045,0.15
2023-04-22,352.9631093184295,0.045,0.15
2023-04-23,352.8746805621108,0.045,0.15
2023-04-24,353.0755093021765,0.045,0.15
2023-04-25,361.2935007264192,0.045,0.15
2023-04-26,360.63679911128406,0.045,0.15
2023-04-27,361.66438121872665,0.045,0.15
2023-04-28,361.545756967659,0.045,0.15
2023-04-29,357.55321821320763,0.045,0.15
2023-04-30,361.4143140526811,0.045,0.15
2023-05-01,363.98219864642147,0.045,0.15
2023-05-02,366.70280154360415,0.045,0.15
2023-05-03,363.5517596640515,0.045,0.15
2023-05-04,368.3706965200474,0.045,0.15
2023-05-05,363.4911671189037,0.045,0.15
2023-05-06,365.50682680189595,0.045,0.15
2023-05-07,373.0720359892819,0.045,0.15
2023-05-08,369.58019794320006,0.045,0.15
2023-05-09,367.6025703962901,0.045,0.15
2023-05-10,367.9487111862098,0.045,0.15
2023-05-11,366.19823281291224,0.045,0.15
2023-05-12,360.8325526961788,0.045,0.15
2023-05-13,361.0663213908804,0.045,0.15
2023-05-14,357.4420002716685,0.045,0.15
2023-05-15,359.04156317287374,0.045,0.15
2023-05-16,355.9223025596616,0.045,0.15
2023-05-17,361.13496389278885,0.045,0.15
2023-05-18,358.462186709765,0.045,0.15
2023-05-19,357.37131627467016,0.045,0.15
2023-05-20,360.11843500014976,0.045,0.15
2023-05-21,355.9300506886877,0.045,0.15
2023-05-22,356.6950491384165,0.045,0.15
2023-05-23,361.1007102734958,0.045,0.15
2023-05-24,355.615847284623,0.045,0.15
2023-05-25,356.23626392927144,0.045,0.15
2023-05-26,357.11105963753954,0.045,0.15
2023-05-27,359.74922892636926,0.045,0.15
2023-05-28,355.5444491479624,0.045,0.15
2023-05-29,351.10827049844744,0.045,0.15
2023-05-30,352.8398958371425,0.045,0.15
2023-05-31,353.83004975609356,0.045,0.15
2023-06-01,354.6675424687567,0.045,0.15
2023-06-02,355.8285920214975,0.045,0.15
2023-06-03,353.5421692745149,0.045,0.15
2023-06-04,354.318049792583,0.045,0.15
2023-06-05,355.29925375866264,0.045,0.15
2023-06-06,352.90098861668974,0.045,0.15
2023-06-07,359.12260198946996,0.045,0.15
2023-06-08,360.7305017073542,0.045,0.15
2023-06-09,356.66984503835386,0.045,0.15
2023-06-10,358.8825707098057,0.045,0.15
2023-06-11,355.5773067005614,0.045,0.15
2023-06-12,358.22182418009356,0.045,0.15
2023-06-13,362.1435289531702,0.045,0.15
2023-06-14,359.3352076487978,0.045,0.15
2023-06-15,362.6062535705951,0.045,0.15
2023-06-16,364.020567765923,0.045,0.15
2023-06-17,366.84818430085096,0.045,0.15
2023-06-18,373.4232076105929,0.045,0.15
2023-06-19,372.5573513129498,0.045,0.15
2023-06-20,369.9039467033834,0.045,0.15
2023-06-21,366.7948591561897,0.045,0.15
2023-06-22,363.96735400367726,0.045,0.15
2023-06-23,363.7021882542807,0.045,0.15
2023-06-24,364.87461250338896,0.045,0.15
2023-06-25,365.8285707209148,0.045,0.15
2023-06-26,368.68794061382215,0.045,0.15
2023-06-27,368.7332362612296,0.045,0.15
2023-06-28,373.7976419939678,0.045,0.15
2023-06-29,372.862859312502,0.045,0.15
2023-06-30,382.4466214845804,0.045,0.15
2023-07-01,384.7076461916764,0.045,0.15
2023-07-02,381.59175369863226,0.045,0.15
2023-07-03,377.73043324261573,0.045,0.15
2023-07-04,379.45248203906976,0.045,0.15
2023-07-05,378.65125869486644,0.045,0.15
2023-07-06,381.2058939762144,0.045,0.15
2023-07-07,382.910522931554,0.045,0.15
2023-07-08,382.6470159561123,0.045,0.15
2023-07-09,379.58528555089447,0.045,0.15
2023-07-10,374.1519166440773,0.045,0.15
2023-07-11,372.57330620904276,0.045,0.15
2023-07-12,375.58824688865394,0.045,0.15
2023-07-13,376.34806030811075,0.045,0.15
2023-07-14,371.9180202372792,0.045,0.15
2023-07-15,372.5266290926927,0.045,0.15
2023-07-16,373.8829639076933,0.045,0.15
2023-07-17,370.76041761491865,0.045,0.15
2023-07-18,371.29897148655346,0.045,0.15
2023-07-19,371.50319360297243,0.045,0.15
2023-07-20,367.4909389925177,0.045,0.15
2023-07-21,368.73334235507275,0.045,0.15
2023-07-22,370.68722925181174,0.045,0.15
2023-07-23,374.4807950226327,0.045,0.15
2023-07-24,378.2096850792318,0.045,0.15
2023-07-25,373.2862452266338,0.045,0.15
2023-07-26,369.9783267313712,0.045,0.15
2023-07-27,371.7788728141853,0.045,0.15
2023-07-28,373.5837926577386,0.045,0.15
2023-07-29,375.4019290340217,0.045,0.15
2023-07-30,389.06839522448854,0.045,0.15
2023-07-31,391.1671889954241,0.045,0.15
2023-08-01,395.3644468549553,0.045,0.15
2023-08-02,398.9284475411193,0.045,0.15
2023-08-03,401.3838795722644,0.045,0.15
2023-08-04,400.1881512360981,0.045,0.15
2023-08-05,403.05813459322707,0.045,0.15
2023-08-06,400.11479777963984,0.045,0.15
2023-08-07,399.2194506947686,0.045,0.15
2023-08-08,397.3885287167537,0.045,0.15
2023-08-09,397.69596354306003,0.045,0.15
2023-08-10,406.3941579377556,0.045,0.15
2023-08-11,399.22374038550595,0.045,0.15
2023-08-12,401.8125264038028,0.045,0.15
2023-08-13,395.68941275491,0.045,0.15
2023-08-14,393.92490032649687,0.045,0.15
2023-08-15,397.97823626907876,0.045,0.15
2023-08-16,398.2199639072733,0.045,0.15
2023-08-17,394.1645989455947,0.045,0.15
2023-08-18,391.50044643714045,0.045,0.15
2023-08-19,394.0145037957528,0.045,0.15
2023-08-20,391.29528520572956,0.045,0.15
2023-08-21,392.0956176594214,0.045,0.15
2023-08-22,392.2644592909103,0.045,0.15
2023-08-23,389.849269539719,0.045,0.15
2023-08-24,397.7469792910293,0.045,0.15
2023-08-25,400.1294724526849,0.045,0.15
2023-08-26,392.4726753885391,0.045,0.15
2023-08-27,393.1641446079746,0.045,0.15
2023-08-28,390.70557349959347,0.045,0.15
2023-08-29,393.85260449178185,0.045,0.15
2023-08-30,390.903193150284,0.045,0.15
2023-08-31,390.47939253500556,0.045,0.15
