Date,Spot,T,OptionPrice,Delta,StockPos,Cash,PortfolioValue,HedgingError
2023-01-01,100,1.99589,15.5539,0.676222,0.676222,-52.0683,15.5539,3.55271e-15
2023-01-02,100.626,1.99316,15.9862,0.684006,0.684006,-52.858,15.9706,-0.0155969
2023-01-03,100.451,1.99042,15.848,0.681696,0.681696,-52.6325,15.8442,-0.00374262
2023-01-04,101.27,1.98768,16.4182,0.691836,0.691836,-53.6658,16.3965,-0.0216693
2023-01-05,103.213,1.98494,17.7881,0.715503,0.715503,-56.1152,17.7343,-0.0537967
2023-01-06,102.909,1.9822,17.5576,0.711965,0.711965,-55.758,17.5095,-0.0481001
2023-01-07,102.605,1.97947,17.3279,0.707919,0.707919,-55.3498,17.2865,-0.0413413
2023-01-08,104.647,1.97673,18.7669,0.73129,0.73129,-57.8023,18.7249,-0.0419902
2023-01-09,105.659,1.97399,19.4729,0.742287,0.742287,-58.9713,19.4577,-0.015169
2023-01-10,105.034,1.97125,19.0143,0.735414,0.735414,-58.2567,18.9865,-0.0277248
2023-01-11,105.752,1.96851,19.511,0.743179,0.743179,-59.085,19.5074,-0.00360614
2023-01-12,105.134,1.96578,19.0578,0.73639,0.73639,-58.3785,19.0412,-0.016605
2023-01-13,104.517,1.96304,18.6052,0.729515,0.729515,-57.6672,18.5798,-0.025439
2023-01-14,104.836,1.9603,18.8178,0.732977,0.732977,-58.0373,18.8051,-0.0127006
2023-01-15,102.309,1.95756,17.0075,0.703602,0.703602,-55.0391,16.9456,-0.0618336
2023-01-16,100.085,1.95483,15.4136,0.675618,0.675618,-52.2451,15.3745,-0.0390727
2023-01-17,99.3765,1.95209,14.941,0.66634,0.66634,-51.3295,14.889,-0.0519949
2023-01-18,98.1084,1.94935,14.1177,0.649481,0.649481,-49.6818,14.0377,-0.0799736
2023-01-19,98.4968,1.94661,14.3525,0.654523,0.654523,-50.1845,14.2839,-0.0686239
2023-01-20,97.37,1.94387,13.6198,0.639247,0.639247,-48.7033,13.5402,-0.0796054
2023-01-21,95.6375,1.94114,12.5007,0.614389,0.614389,-46.3319,12.4267,-0.0740003
2023-01-22,97.4034,1.9384,13.6148,0.639414,0.639414,-48.7752,13.506,-0.108847
2023-01-23,97.1264,1.93566,13.4248,0.635083,0.635083,-48.3605,13.3228,-0.10204
2023-01-24,97.209,1.93292,13.4644,0.636084,0.636084,-48.4638,13.3693,-0.0950862
2023-01-25,95.4641,1.93018,12.3382,0.611234,0.611234,-46.0975,12.2534,-0.0847772
2023-01-26,94.8093,1.92745,11.9077,0.601555,0.601555,-45.1855,11.8475,-0.0601337
2023-01-27,94.9418,1.92471,11.9793,0.603316,0.603316,-45.3582,11.9217,-0.0575896
2023-01-28,93.5651,1.92197,11.1689,0.582729,0.582729,-43.4376,11.0855,-0.0834609
2023-01-29,94.008,1.91923,11.4046,0.589175,0.589175,-44.0489,11.3382,-0.066393
2023-01-30,93.2966,1.9165,10.9936,0.578288,0.578288,-43.0386,10.9136,-0.0799797
2023-01-31,92.9537,1.91376,10.7892,0.572872,0.572872,-42.5406,10.71,-0.0791256
2023-02-01,92.249,1.91102,10.3823,0.561813,0.561813,-41.5256,10.3011,-0.0811456
2023-02-02,94.4018,1.90828,11.5749,0.594297,0.594297,-44.5973,11.5055,-0.0694563
2023-02-03,94.3858,1.90554,11.5533,0.593877,0.593877,-44.5631,11.4904,-0.062917
2023-02-04,93.128,1.90281,10.8371,0.574737,0.574737,-42.7862,10.738,-0.0990882
2023-02-05,94.0931,1.90007,11.3644,0.589141,0.589141,-44.1467,11.2874,-0.0770628
2023-02-06,92.6458,1.89733,10.5425,0.566923,0.566923,-42.0938,10.4293,-0.113245
2023-02-07,92.8896,1.89459,10.6665,0.57048,0.57048,-42.4293,10.5623,-0.104132
2023-02-08,90.5962,1.89185,9.37211,0.534262,0.534262,-39.1534,9.24875,-0.123355
2023-02-09,89.0802,1.88912,8.55313,0.509664,0.509664,-36.967,8.43399,-0.119146
2023-02-10,89.3011,1.88638,8.64761,0.513019,0.513019,-37.2711,8.54204,-0.105576
2023-02-11,90.132,1.88364,9.07638,0.526183,0.526183,-38.4622,8.96368,-0.112696
2023-02-12,90.3266,1.8809,9.17296,0.529054,0.529054,-38.7263,9.06134,-0.111619
2023-02-13,90.195,1.87817,9.08735,0.526716,0.526716,-38.5202,8.98694,-0.100415
2023-02-14,89.8528,1.87543,8.88425,0.520979,0.520979,-38.0095,8.80197,-0.0822795
2023-02-15,88.1791,1.87269,8.0536,0.493198,0.493198,-35.5645,7.9253,-0.128301
2023-02-16,87.3794,1.86995,7.65976,0.479391,0.479391,-34.3624,7.5265,-0.13326
2023-02-17,86.8722,1.86721,7.40606,0.470445,0.470445,-33.5894,7.27917,-0.126892
2023-02-18,88.0293,1.86448,7.94809,0.489879,0.489879,-35.3043,7.81934,-0.128755
2023-02-19,88.4104,1.86174,8.11896,0.496015,0.496015,-35.8512,8.00168,-0.11728
2023-02-20,86.4466,1.859,7.16924,0.462668,0.462668,-32.9728,7.02319,-0.146054
2023-02-21,86.7995,1.85626,7.32677,0.46816,0.46816,-33.4536,7.18243,-0.144337
2023-02-22,86.3784,1.85352,7.11452,0.460983,0.460983,-32.8378,6.98116,-0.133354
2023-02-23,85.6417,1.85079,6.75171,0.448457,0.448457,-31.7691,6.63752,-0.114183
2023-02-24,86.3017,1.84805,7.05573,0.45915,0.45915,-32.6959,6.92959,-0.126148
2023-02-25,87.4227,1.84531,7.57957,0.47763,0.47763,-34.3154,7.44027,-0.139306
2023-02-26,88.4485,1.84257,8.05767,0.494802,0.494802,-35.8385,7.92596,-0.131705
2023-02-27,87.5133,1.83984,7.60028,0.478627,0.478627,-34.4274,7.45882,-0.141462
2023-02-28,87.1724,1.8371,7.42647,0.472293,0.472293,-33.8795,7.2914,-0.13507
2023-03-01,87.5362,1.83436,7.58867,0.478461,0.478461,-34.4236,7.45905,-0.129614
2023-03-02,88.6121,1.83162,8.09008,0.49649,0.49649,-36.0254,7.96958,-0.120505
2023-03-03,88.0771,1.82888,7.82381,0.487169,0.487169,-35.2089,7.69954,-0.124274
2023-03-04,87.8711,1.82615,7.71434,0.483376,0.483376,-34.88,7.59484,-0.119505
2023-03-05,86.6463,1.82341,7.11984,0.462279,0.462279,-33.0563,6.9985,-0.12134
2023-03-06,85.3405,1.82067,6.48709,0.440088,0.440088,-31.1666,6.39077,-0.0963157
2023-03-07,86.2141,1.81793,6.89181,0.454527,0.454527,-32.4152,6.7714,-0.120411
2023-03-08,87.6872,1.8152,7.58152,0.4791,0.4791,-34.574,7.43699,-0.144531
2023-03-09,87.6077,1.81246,7.53236,0.477444,0.477444,-34.4331,7.39462,-0.137744
2023-03-10,88.7153,1.80972,8.04771,0.496101,0.496101,-36.0925,7.91922,-0.128489
2023-03-11,89.1195,1.80698,8.22837,0.502634,0.502634,-36.6792,8.1153,-0.113076
2023-03-12,88.3952,1.80424,7.87263,0.490131,0.490131,-35.5786,7.7467,-0.125929
