Date,Spot,T,OptionPrice,Delta,StockPos,Cash,PortfolioValue,HedgingError
2023-06-01,159.549,1.58248,67.316,0.989326,0.989326,-90.5296,67.316,0
2023-06-02,157.379,1.57974,65.1537,0.987599,0.987599,-90.2703,65.1571,0.00337989
2023-06-03,155.544,1.577,63.333,0.986102,0.986102,-90.0498,63.3321,-0.000997335
2023-06-04,156.117,1.57426,63.8838,0.986624,0.986624,-90.1436,63.8854,0.00159278
2023-06-05,154.196,1.57153,61.9799,0.985023,0.985023,-89.909,61.9776,-0.00231604
2023-06-06,152.477,1.56879,60.2752,0.983398,0.983398,-89.6736,60.2723,-0.00294027
2023-06-07,153.56,1.56605,61.3266,0.984542,0.984542,-89.8615,61.3245,-0.00209518
2023-06-08,157.578,1.56331,65.2715,0.988002,0.988002,-90.419,65.2688,-0.00274728
2023-06-09,150.144,1.56057,57.9387,0.980501,0.980501,-89.3052,57.9111,-0.0276188
2023-06-10,151.161,1.55784,58.9254,0.981905,0.981905,-89.5297,58.8958,-0.0296152
2023-06-11,150.46,1.5551,58.2225,0.981031,0.981031,-89.4103,58.1955,-0.0269195
2023-06-12,150.407,1.55236,58.157,0.981015,0.981015,-89.4202,58.1316,-0.0253986
2023-06-13,158.555,1.54962,66.1717,0.989016,0.989016,-90.7011,66.112,-0.0597493
2023-06-14,157.037,1.54689,64.655,0.987791,0.987791,-90.5212,64.5982,-0.0568141
2023-06-15,154.742,1.54415,62.3801,0.985866,0.985866,-90.2357,62.319,-0.06109
2023-06-16,150.978,1.54141,58.6642,0.981999,0.981999,-89.6642,58.5964,-0.067804
2023-06-17,154.916,1.53867,62.5242,0.986095,0.986095,-90.311,62.4511,-0.0731658
2023-06-18,154.735,1.53593,62.3321,0.985976,0.985976,-90.3049,62.2598,-0.072254
2023-06-19,151.732,1.5332,59.3647,0.983174,0.983174,-89.8921,59.2868,-0.0778059
2023-06-20,154.339,1.53046,61.9149,0.985706,0.985706,-90.2952,61.8372,-0.0777133
2023-06-21,153.985,1.52772,61.5535,0.985433,0.985433,-90.2655,61.4764,-0.0770879
2023-06-22,156.159,1.52498,63.6788,0.987371,0.987371,-90.5805,63.6058,-0.07299
2023-06-23,156.351,1.52225,63.856,0.987578,0.987578,-90.6253,63.7834,-0.0726079
2023-06-24,150.453,1.51951,58.0383,0.981751,0.981751,-89.761,57.9464,-0.0918562
2023-06-25,153.746,1.51677,61.2636,0.985375,0.985375,-90.3305,61.1671,-0.0965053
2023-06-26,156.259,1.51403,63.7246,0.987624,0.987624,-90.6943,63.6305,-0.0941069
2023-06-27,155.031,1.51129,62.5002,0.986594,0.986594,-90.5471,62.406,-0.0942419
2023-06-28,158.565,1.50856,65.9816,0.989681,0.989681,-91.0488,65.8798,-0.101803
2023-06-29,156.587,1.50582,64.0096,0.988036,0.988036,-90.8038,63.9098,-0.0998639
2023-06-30,151.629,1.50308,59.1131,0.983643,0.983643,-90.1502,58.999,-0.11402
2023-07-01,150.706,1.50034,58.1909,0.982507,0.982507,-89.9912,58.0782,-0.112792
2023-07-02,156.424,1.4976,63.8084,0.988025,0.988025,-90.8667,63.6843,-0.124057
2023-07-03,150.265,1.49487,57.7302,0.982023,0.982023,-89.9773,57.5865,-0.143704
2023-07-04,155.858,1.49213,63.2208,0.987616,0.987616,-90.8613,63.0663,-0.154422
2023-07-05,159.402,1.48939,66.717,0.990517,0.990517,-91.3361,66.5545,-0.162411
2023-07-06,155.755,1.48665,63.092,0.987612,0.987612,-90.8962,62.9291,-0.16293
2023-07-07,153.882,1.48392,61.2319,0.985979,0.985979,-90.6574,61.0668,-0.16512
2023-07-08,156.433,1.48118,63.7367,0.988297,0.988297,-91.0324,63.5698,-0.166869
