Date,Spot,T,OptionPrice,Delta,StockPos,Cash,PortfolioValue,HedgingError
2023-06-01,159.549,1.58248,67.317,0.989195,0.989195,-90.5078,67.317,0
2023-06-02,157.379,1.57974,65.159,0.987581,0.987581,-90.2662,65.1583,-0.000682505
2023-06-03,155.544,1.577,63.3343,0.98604,0.98604,-90.0388,63.3333,-0.000932033
2023-06-04,156.117,1.57426,63.8866,0.986593,0.986593,-90.1375,63.8867,0.000103269
2023-06-05,154.196,1.57153,61.9792,0.984844,0.984844,-89.8802,61.9789,-0.000333193
2023-06-06,152.477,1.56879,60.2744,0.983097,0.983097,-89.626,60.2739,-0.000484259
2023-06-07,153.56,1.56605,61.3256,0.984291,0.984291,-89.8216,61.3258,0.000235851
2023-06-08,157.578,1.56331,65.2753,0.98797,0.98797,-90.4136,65.2691,-0.00622968
2023-06-09,150.144,1.56057,57.9423,0.980488,0.980488,-89.3027,57.9116,-0.0306581
2023-06-10,151.161,1.55784,58.9262,0.981781,0.981781,-89.5104,58.8964,-0.0297919
2023-06-11,150.46,1.5551,58.2248,0.980981,0.980981,-89.4023,58.1962,-0.0285746
2023-06-12,150.407,1.55236,58.1592,0.980965,0.980965,-89.4121,58.1322,-0.0270455
2023-06-13,158.555,1.54962,66.173,0.988904,0.988904,-90.683,66.1122,-0.0607982
2023-06-14,157.037,1.54689,64.6592,0.987764,0.987764,-90.5164,64.5986,-0.0606124
2023-06-15,154.742,1.54415,62.3811,0.985797,0.985797,-90.2244,62.3194,-0.0616799
2023-06-16,150.978,1.54141,58.6647,0.981854,0.981854,-89.6415,58.5972,-0.0675001
2023-06-17,154.916,1.53867,62.5259,0.986044,0.986044,-90.3029,62.4512,-0.0747079
2023-06-18,154.735,1.53593,62.3335,0.985917,0.985917,-90.2956,62.26,-0.0735093
2023-06-19,151.732,1.5332,59.3639,0.982871,0.982871,-89.8458,59.2872,-0.0766563
2023-06-20,154.339,1.53046,61.9157,0.985628,0.985628,-90.2836,61.8367,-0.0789956
2023-06-21,153.985,1.52772,61.5538,0.98533,0.98533,-90.2501,61.476,-0.0778049
2023-06-22,156.159,1.52498,63.6841,0.987351,0.987351,-90.578,63.6052,-0.0788424
2023-06-23,156.351,1.52225,63.8606,0.987553,0.987553,-90.622,63.7828,-0.0777452
2023-06-24,150.453,1.51951,58.0388,0.981615,0.981615,-89.7411,57.9459,-0.0929269
2023-06-25,153.746,1.51677,61.2639,0.985272,0.985272,-90.3155,61.1662,-0.0977433
2023-06-26,156.259,1.51403,63.7288,0.987596,0.987596,-90.6911,63.6293,-0.0995357
2023-06-27,155.031,1.51129,62.5039,0.986571,0.986571,-90.5445,62.4049,-0.0990282
2023-06-28,158.565,1.50856,65.9818,0.98946,0.98946,-91.015,65.8785,-0.103225
2023-06-29,156.587,1.50582,64.0126,0.987987,0.987987,-90.7968,63.909,-0.103642
2023-06-30,151.629,1.50308,59.112,0.98328,0.98328,-90.0957,58.9985,-0.113506
2023-07-01,150.706,1.50034,58.1905,0.982266,0.982266,-89.9552,58.078,-0.112556
2023-07-02,156.424,1.4976,63.8113,0.987974,0.987974,-90.8602,63.6827,-0.128552
2023-07-03,150.265,1.49487,57.7303,0.981838,0.981838,-89.9508,57.5853,-0.144989
2023-07-04,155.858,1.49213,63.2247,0.987584,0.987584,-90.8586,63.064,-0.160672
2023-07-05,159.402,1.48939,66.7168,0.990291,0.990291,-91.3025,66.5521,-0.164625
2023-07-06,155.755,1.48665,63.0959,0.987579,0.987579,-90.8926,62.9275,-0.1684
2023-07-07,153.882,1.48392,61.234,0.985935,0.985935,-90.6521,61.0653,-0.168767
2023-07-08,156.433,1.48118,63.7388,0.988221,0.988221,-91.0221,63.5682,-0.170604
