Date,Spot,T,OptionPrice,Delta,StockPos,Cash,PortfolioValue,HedgingError
2023-01-01,100,1.99589,15.7363,0.683493,0.683493,-52.613,15.7363,-1.77636e-15
2023-01-02,100.626,1.99316,16.1489,0.692035,0.692035,-53.479,16.1576,0.00863199
2023-01-03,100.451,1.99042,16.0156,0.68951,0.68951,-53.232,16.0297,0.0141074
2023-01-04,101.27,1.98768,16.5661,0.700283,0.700283,-54.3295,16.5883,0.0222232
2023-01-05,103.213,1.98494,17.925,0.724194,0.724194,-56.8041,17.9424,0.0174053
2023-01-06,102.909,1.9822,17.6929,0.720649,0.720649,-56.4463,17.7149,0.0219965
2023-01-07,102.605,1.97947,17.4626,0.717255,0.717255,-56.1051,17.4892,0.0266029
2023-01-08,104.647,1.97673,18.925,0.74356,0.74356,-58.8647,18.9465,0.0215327
2023-01-09,105.659,1.97399,19.663,0.755536,0.755536,-60.1373,19.6916,0.0285497
2023-01-10,105.034,1.97125,19.1827,0.748595,0.748595,-59.4157,19.212,0.0292697
2023-01-11,105.752,1.96851,19.7048,0.756301,0.756301,-60.2379,19.7422,0.0373277
2023-01-12,105.134,1.96578,19.2294,0.749676,0.749676,-59.5488,19.2678,0.038398
2023-01-13,104.517,1.96304,18.76,0.741368,0.741368,-58.6878,18.798,0.0379711
2023-01-14,104.836,1.9603,18.9805,0.745834,0.745834,-59.1632,19.0269,0.0464838
2023-01-15,102.309,1.95756,17.1421,0.713022,0.713022,-55.8136,17.1349,-0.00719575
2023-01-16,100.085,1.95483,15.5912,0.683047,0.683047,-52.8204,15.5427,-0.048471
2023-01-17,99.3765,1.95209,15.102,0.672914,0.672914,-51.82,15.0519,-0.0501204
2023-01-18,98.1084,1.94935,14.2527,0.657306,0.657306,-50.295,14.1922,-0.0605478
2023-01-19,98.4968,1.94661,14.4935,0.661677,0.661677,-50.7318,14.4413,-0.0522274
2023-01-20,97.37,1.94387,13.7486,0.648191,0.648191,-49.4249,13.6895,-0.059181
2023-01-21,95.6375,1.94114,12.6451,0.623966,0.623966,-47.1142,12.5604,-0.0847451
2023-01-22,97.4034,1.9384,13.7436,0.648356,0.648356,-49.4956,13.6565,-0.087105
2023-01-23,97.1264,1.93566,13.553,0.644447,0.644447,-49.122,13.4707,-0.0822222
2023-01-24,97.209,1.93292,13.5925,0.645419,0.645419,-49.2227,13.5179,-0.0745382
2023-01-25,95.4641,1.93018,12.4864,0.620901,0.620901,-46.8881,12.3857,-0.100742
2023-01-26,94.8093,1.92745,12.0744,0.611377,0.611377,-45.9909,11.9734,-0.101073
2023-01-27,94.9418,1.92471,12.1418,0.613039,0.613039,-46.1544,12.0487,-0.0931123
2023-01-28,93.5651,1.92197,11.3053,0.595545,0.595545,-44.5232,11.199,-0.106317
2023-01-29,94.008,1.91923,11.5547,0.601017,0.601017,-45.0431,11.4573,-0.0974433
2023-01-30,93.2966,1.9165,11.123,0.590812,0.590812,-44.0966,11.0242,-0.0988448
2023-01-31,92.9537,1.91376,10.9119,0.584334,0.584334,-43.4999,10.8162,-0.0956968
2023-02-01,92.249,1.91102,10.4966,0.572952,0.572952,-42.4553,10.399,-0.0975599
2023-02-02,94.4018,1.90828,11.7388,0.604894,0.604894,-45.4758,11.6272,-0.111599
2023-02-03,94.3858,1.90554,11.7163,0.604527,0.604527,-45.4468,11.6119,-0.104418
2023-02-04,93.128,1.90281,10.962,0.586709,0.586709,-43.7931,10.846,-0.116082
2023-02-05,94.0931,1.90007,11.5158,0.600878,0.600878,-45.1317,11.4068,-0.108951
2023-02-06,92.6458,1.89733,10.66,0.577691,0.577691,-42.989,10.5316,-0.128377
2023-02-07,92.8896,1.89459,10.787,0.581674,0.581674,-43.3643,10.6672,-0.119818
2023-02-08,90.5962,1.89185,9.49277,0.549789,0.549789,-40.481,9.3278,-0.164975
2023-02-09,89.0802,1.88912,8.67645,0.525619,0.525619,-38.3329,8.48933,-0.187123
2023-02-10,89.3011,1.88638,8.77944,0.529063,0.529063,-38.6452,8.60074,-0.178702
2023-02-11,90.132,1.88364,9.20656,0.541699,0.541699,-39.7888,9.03554,-0.171017
2023-02-12,90.3266,1.8809,9.29884,0.544528,0.544528,-40.0493,9.13605,-0.162784
2023-02-13,90.195,1.87817,9.21616,0.542227,0.542227,-39.8467,9.05945,-0.156708
2023-02-14,89.8528,1.87543,9.02194,0.536525,0.536525,-39.3393,8.86902,-0.152922
2023-02-15,88.1791,1.87269,8.14788,0.508,0.508,-36.8288,7.96616,-0.181714
2023-02-16,87.3794,1.86995,7.74085,0.495136,0.495136,-35.7093,7.55537,-0.185484
2023-02-17,86.8722,1.86721,7.48567,0.484739,0.484739,-34.8105,7.29988,-0.185783
2023-02-18,88.0293,1.86448,8.03833,0.50487,0.50487,-36.5869,7.85644,-0.181893
2023-02-19,88.4104,1.86174,8.21774,0.510725,0.510725,-37.109,8.04434,-0.173398
2023-02-20,86.4466,1.859,7.2517,0.47512,0.47512,-34.0357,7.03681,-0.21489
2023-02-21,86.7995,1.85626,7.40652,0.48189,0.48189,-34.6275,7.20032,-0.2062
2023-02-22,86.3784,1.85352,7.19779,0.473331,0.473331,-33.8925,6.99312,-0.204674
2023-02-23,85.6417,1.85079,6.84933,0.459223,0.459223,-32.6884,6.64025,-0.209073
2023-02-24,86.3017,1.84805,7.14016,0.471237,0.471237,-33.7292,6.93931,-0.200851
2023-02-25,87.4227,1.84531,7.65975,0.4933,0.4933,-35.6622,7.46341,-0.196338
2023-02-26,88.4485,1.84257,8.15537,0.509519,0.509519,-37.1011,7.96501,-0.190361
2023-02-27,87.5133,1.83984,7.68089,0.494411,0.494411,-35.7836,7.48395,-0.196944
2023-02-28,87.1724,1.8371,7.50532,0.487341,0.487341,-35.1717,7.31098,-0.194337
2023-03-01,87.5362,1.83436,7.66918,0.49425,0.49425,-35.7808,7.48395,-0.185229
2023-03-02,88.6121,1.83162,8.19091,0.511359,0.511359,-37.3013,8.0113,-0.179607
2023-03-03,88.0771,1.82888,7.91176,0.502442,0.502442,-36.5205,7.73315,-0.178614
2023-03-04,87.8711,1.82615,7.79844,0.499079,0.499079,-36.2295,7.62514,-0.173302
2023-03-05,86.6463,1.82341,7.20067,0.474897,0.474897,-34.1387,7.00941,-0.19126
2023-03-06,85.3405,1.82067,6.59551,0.451108,0.451108,-32.1127,6.38507,-0.210447
2023-03-07,86.2141,1.81793,6.97873,0.465915,0.465915,-33.3932,6.7752,-0.203523
2023-03-08,87.6872,1.8152,7.6624,0.494941,0.494941,-35.9425,7.45745,-0.204956
2023-03-09,87.6077,1.81246,7.61231,0.493226,0.493226,-35.7967,7.41365,-0.19866
2023-03-10,88.7153,1.80972,8.1489,0.51101,0.51101,-37.3789,7.95556,-0.193342
2023-03-11,89.1195,1.80698,8.34176,0.518342,0.518342,-38.0369,8.1575,-0.184256
2023-03-12,88.3952,1.80424,7.965,0.505054,0.505054,-36.8669,7.77736,-0.18764
2023-03-13,88.7977,1.80151,8.155,0.511648,0.511648,-37.457,7.97609,-0.17891
2023-03-14,90.5183,1.79877,9.03605,0.540601,0.540601,-40.0825,8.85185,-0.184196
2023-03-15,90.4775,1.79603,9.002,0.539709,0.539709,-40.0067,8.82483,-0.177168
2023-03-16,92.261,1.79329,9.96382,0.564603,0.564603,-42.3084,9.7825,-0.181322
2023-03-17,89.2159,1.79055,8.31937,0.518486,0.518486,-38.1992,8.05799,-0.261382
2023-03-18,90.1397,1.78782,8.78642,0.533495,0.533495,-39.5568,8.53228,-0.254147
2023-03-19,90.2386,1.78508,8.82631,0.534829,0.534829,-39.6821,8.58014,-0.246167
2023-03-20,89.8986,1.78234,8.63559,0.52933,0.52933,-39.1926,8.39344,-0.242151
2023-03-21,90.0026,1.7796,8.67777,0.530718,0.530718,-39.3224,8.44363,-0.234141
2023-03-22,87.7488,1.77687,7.53094,0.492,0.492,-35.9297,7.24267,-0.288272
2023-03-23,87.506,1.77413,7.40288,0.486801,0.486801,-35.4793,7.11876,-0.284115
2023-03-24,87.8997,1.77139,7.58085,0.494128,0.494128,-36.1276,7.30605,-0.274806
2023-03-25,89.5363,1.76865,8.38734,0.522074,0.522074,-38.6343,8.11032,-0.277021
2023-03-26,88.9517,1.76591,8.07833,0.510836,0.510836,-37.6394,7.80033,-0.277992
2023-03-27,88.0456,1.76318,7.617,0.495788,0.495788,-36.3191,7.33284,-0.284159
2023-03-28,87.489,1.76044,7.3374,0.484838,0.484838,-35.3656,7.05242,-0.284981
